model,parameter,parameterValue,noise,RRE (mean),RRE (sd),Acc (mean),Acc (sd),NMI (mean),NMI (sd)
l1-norm,lamda,0.05,5,0.08065999782087133,0.0008052621932570613,0.7122222222222222,0.02015373016357452,0.8180466645919428,0.011899005049314178
l1-norm,lamda,0.05,10,0.08812119593375266,0.0008165205351960607,0.7005555555555556,0.02411392712690078,0.812209706689722,0.01665682655915565
l1-norm,lamda,0.05,40,0.19858323417587487,0.0011740951461442668,0.45555555555555555,0.021444732295131986,0.601409319179685,0.013810659538022416
l1-norm,lamda,0.05,80,0.36571245319418483,0.0031763977168439254,0.2066666666666667,0.009060836905722272,0.33177585398783743,0.02601107903316475
l1-norm,lamda,0.05,120,0.5750863429476805,0.006048251774654061,0.16777777777777775,0.00871354841186562,0.2404186262787295,0.012614294858506868
l1-norm,lamda,0.05,160,0.792658532383783,0.005518056013319631,0.15166666666666667,0.009558139185602922,0.20016641609744185,0.006058131411930375
l1-norm,lamda,0.05,200,0.9872546652952492,0.014467042320058692,0.15055555555555558,0.008854098583616236,0.18458412235350127,0.004262203353410439
l1-norm,lamda,0.05,240,1.1642402325947636,0.018073486736893244,0.15222222222222223,0.00773799348732451,0.1842529709104839,0.002905233697469751
l1-norm,lamda,0.05,280,1.3188166389740181,0.009636095574890082,0.15055555555555555,0.00831479419283098,0.18572721620057875,0.005956393852513835
l1-norm,lamda,0.1,0,0.07827838661577848,0.0007959138825260441,0.7133333333333333,0.023399377431836316,0.8238640201595822,0.015140744279429113
l1-norm,lamda,0.1,5,0.0806476325849733,0.0008007429600171279,0.7261111111111112,0.027811091135075183,0.8273695040603849,0.018241651393482432
l1-norm,lamda,0.1,10,0.0880269664862516,0.0007767721572312715,0.7138888888888889,0.029027445505806965,0.8146099362164761,0.01819239135053848
l1-norm,lamda,0.1,40,0.1987937320126931,0.0014218108372954623,0.4527777777777778,0.031865845332666634,0.5930453426427109,0.025224909235546024
l1-norm,lamda,0.1,80,0.36481639618460926,0.0029073737328067883,0.20166666666666666,0.010914934835771386,0.31187449099696063,0.02153390853781598
l1-norm,lamda,0.1,120,0.5708754750588116,0.004473550846932795,0.16444444444444445,0.010886621079036343,0.23283231757890183,0.012593076369335765
l1-norm,lamda,0.1,160,0.7945841362831153,0.007461657433188445,0.15333333333333335,0.0073282810879294,0.1988576562802468,0.005202901315258761
l1-norm,lamda,0.1,200,0.9837332490286963,0.00813457781971534,0.15166666666666667,0.01091493483577139,0.18887396298333434,0.0037781532934210724
l1-norm,lamda,0.1,240,1.1451689551725024,0.013063717554892943,0.15444444444444444,0.0093952969584932,0.18795644151308777,0.0056552962659773285
l1-norm,lamda,0.1,280,1.3269311565486352,0.012446049045455468,0.15166666666666667,0.009060836905722278,0.18427057564435484,0.006173249759219155
