Test Acc,Valid Acc,Train Acc,Estimation Error,Transition Matrix,Loss
78.96(2.18),52.28(1.06),51.67(2.33),---,---,GCE
82.58(0.44),52.96(0.52),55.32(3.75),---,---,MAE
79.8(3.62),51.34(1.47),52.05(2.67),---,---,GCE+MAE
75.76(4.66),50.03(1.04),49.52(0.42),0.18(0.01),alpha=0.03,NLL
